question_id,question,answer,field,year,correct answer,question_english,answer_english,field_english,question_type_category,question_type_format,question_type_clinical_domain,question_type_specialty_subtype,question_type_complexity_level,question_type_is_clinical_case,question_type_required_knowledge,question_type_gender,question_type_age_value,question_type_age_unit,question_type_age_ageCategory
13015,خانم 30 ساله ای روز بعد از آپاندکتومی به علت افت هموگلوبین و خون ریزی داخل شکمی تحت جراحی مجدد قرار می گیرد. وی سابقه خونریزی غیر طبیعی از بند ناف و سقط داشته است. کدام گزینه در مورد علت و درمان بهترین پاسخ می باشد؟,"{'1': 'کمبود فاکتور IX و دریافت کنسانتره ', '2': 'کمبود فاکتور XI و دریافت FFP ', '3': 'کمبود فاکتور XIII و دریافت FFP ', '4': 'کمبود فاکتور VII و دریافت کرایو'}",جراحی,1395,3,A 30-year-old woman undergoes re-operation the day after appendectomy due to decreased hemoglobin and intra-abdominal bleeding. She has a history of abnormal umbilical cord bleeding and miscarriage. Which option is the best answer regarding the cause and treatment?,"{""1"": ""Factor IX deficiency and receiving concentrate"", ""2"": ""Factor XI deficiency and receiving FFP"", ""3"": ""Factor XIII deficiency and receiving FFP"", ""4"": ""Factor VII deficiency and receiving cryoprecipitate""}",Surgery,etiology,case_scenario,hematology_oncology,coagulation_disorders,intermediate,1.0,"[""post-surgical complications"", ""causes of intra-abdominal bleeding"", ""inherited bleeding disorders"", ""management of bleeding disorders""]",female,30,years,Adult (18+)
20081,خانم حامله ای که قرار است دو هفته آینده زایمان نماید، بچه سه ساله اش دچار آبله مرغان شده است. آزمایش مادر نشان دهنده عدم ایمنی وی به این ویروس است. مناسب ترین اقدام کدام است؟,"{'1': 'به مادر اطمینان می دهید که تا سه هفته آینده از نظر آبله مرغان مشکلی برایش ایجاد نمی شود. ', '2': 'تجویز اُسیکاوویر خوراکی به مدت هفت روز ', '3': 'تحت نظر گرفتن وی و تجویز اسیکلوویر به محض بروز راش ', '4': 'تجویز VZIG (ایمونوگلوبولین VZ)'}",عفونی,1391,4,A pregnant woman who is due to give birth in two weeks has a three-year-old child with chickenpox. The mother's test shows she is not immune to this virus. What is the most appropriate action?,"{""1"": ""Assure the mother that she will not have any problems with chickenpox for the next three weeks."", ""2"": ""Prescribe oral acyclovir for seven days."", ""3"": ""Monitor her and prescribe acyclovir immediately upon the appearance of rash."", ""4"": ""Administer VZIG (Varicella Zoster Immune Globulin).""}",Infectious Diseases,treatment,case_scenario,infectious_disease,viral_infections,intermediate,1.0,"[""Varicella zoster virus infection"", ""Pregnancy complications"", ""Immunization in pregnancy"", ""Post-exposure prophylaxis""]",female,,,Adult (18+)
13436,مرد 35 ساله ای پس از درمان طولانی مدت با کلرامفنیکل دچار کاهش شدید گلبول های قرمز، گلبول های سفید و پلاکت شده است. در بیمار فوق همه ی موارد زیر صحیح است، به جز:,"{'1': 'در بیوپسی مغز استخوان بیشترین فضا را چربی اشغال کرده است. ', '2': 'داروهای آنتی متابولیت و آلکیله کننده نیز می توانند این بیماری را به وجود آورند. ', '3': 'طحال او در معاینه قابل لمس نیست و بزرگ نشده است. ', '4': 'نقص ارثی در تلومر از بیشترین علت آن است.'}",پاتولوژی,1395,4,"A 35-year-old man developed severe reduction in red blood cells, white blood cells, and platelets after long-term treatment with chloramphenicol. In the above patient, all of the following are true, EXCEPT:","{""1"": ""In bone marrow biopsy, fat occupies the most space."", ""2"": ""Antimetabolite and alkylating drugs can also cause this disease."", ""3"": ""His spleen is not palpable on examination and is not enlarged."", ""4"": ""Hereditary defect in telomere is the most common cause of it.""}",Pathology,complication,multiple_choice,hematology_oncology,aplastic_anemia,intermediate,1.0,"[""Pharmacology of Chloramphenicol"", ""Hematologic side effects of Chloramphenicol"", ""Diagnosis of aplastic anemia"", ""Differential diagnosis of pancytopenia""]",male,35,years,Adult (18+)
6668,خانم 24 ساله‌ای که از حدود 4 ماه پیش با تشخیص آسم تحت درمان با سالبوتامول می‌باشد. جهت ویزیت مجدد مراجعه نموده است. وی اظهار می‌کند در طی یک هفته سه بار از سالبوتامول استفاده می‌نماید. جهت ادامه درمان وی چه اقدامی را توصیه می‌کنید؟,"{'1': 'اضافه کردن سالمترول استنشاقی ', '2': 'اضافه کردن بکلومتازون استنشاقی ', '3': 'اضافه کردن نیوتروپیوم استنشاقی ', '4': 'ادامه درمان فعلی'}",ریه,1397,2,A 24-year-old woman who has been treated with salbutamol for about 4 months with a diagnosis of asthma. She has returned for a follow-up visit. She states that she uses salbutamol three times a week. What action do you recommend for her continued treatment?,"{""1"": ""Adding inhaled salmeterol"", ""2"": ""Adding inhaled beclomethasone"", ""3"": ""Adding inhaled tiotropium"", ""4"": ""Continue current treatment""}",Pulmonology,treatment,case_scenario,pulmonology,asthma,intermediate,1.0,"[""asthma management guidelines"", ""pharmacology of asthma medications"", ""assessment of asthma control""]",female,24,years,Adult (18+)
631,آقای ۸۱ ساله ای با سابقه نارسایی قلبی به دلیل شکستگی لگن در ای سی یو بستری می باشد. بیمار از ۳۶ ساعت قبل دچار تهوع، استفراغ و درد شکم شده و تب ۳۹ درجه سانتی گراد و نبض ۱۱۰ در دقیقه دارد، در سونوگرافی شکم و لگن کیسه صفرا متسع و جدار ضخیم دیده میشود و در ناحیهی فوندوس کیسه صفرا شواهدی به نفع شروع گانگرن و نازک شدگی جدار وجود دارد بهترین روش درمانی برای این بیمار کدام است؟,"{'1': 'کولسیستوستومی پر پرکوتانئوس ', '2': 'کولسیتکتومی لاپاراسکوپیک اورژانسی ', '3': 'درمان آنتی بیوتیکی به دلیل ریسک عمل جراحی بالا ', '4': 'کلسیستکتومی اورژانسی به روش باز'}",جراحی,1402,1,"An 81-year-old male with a history of heart failure is admitted to the ICU due to a hip fracture. The patient has experienced nausea, vomiting, and abdominal pain for the past 36 hours, and has a fever of 39 degrees Celsius and a pulse of 110 beats per minute. Abdominal and pelvic ultrasound shows a distended gallbladder with thickened walls, and evidence suggestive of impending gangrene and thinning of the wall in the fundus of the gallbladder. What is the best treatment method for this patient?","{""1"": ""Percutaneous cholecystostomy"", ""2"": ""Emergency laparoscopic cholecystectomy"", ""3"": ""Antibiotic treatment due to high surgical risk"", ""4"": ""Emergency open cholecystectomy""}",Surgery,treatment,case_scenario,gastroenterology,biliary_disease,advanced,1.0,"[""management of acute cholecystitis"", ""management of gangrenous cholecystitis"", ""management of elderly patients with comorbidities"", ""surgical vs non-surgical management of biliary disease""]",male,81,years,Adult (18+)
15755,مصرف کدام داروی زیر در بیماران با اختلالات وسواسی با ارزش تر از سایرین است؟,"{'1': 'کلومیپرامین ', '2': 'نفازودون ', '3': 'داکسپین ', '4': 'آمی\u200cتریپتیلین'}",فارماکولوژی,1394,1,Which of the following medications is more valuable than others in patients with obsessive-compulsive disorders?,"{""1"": ""Clomipramine"", ""2"": ""Nefazodone"", ""3"": ""Doxepin"", ""4"": ""Amitriptyline""}",Pharmacology,treatment,direct_question,psychiatry,Anxiety Disorders,basic,0.0,"[""Pharmacology of psychiatric medications"", ""Treatment guidelines for Obsessive-Compulsive Disorder (OCD)""]",unspecified,unspecified,unspecified,Unspecified
4242,کدامیک از ریسک فاکتورهای زیر عامل قوی تری در جهت ابتلا به EP محسوب می شود؟,"{'1': 'سیگار ', '2': 'بستن لوله ', '3': 'دوش واژینال ', '4': 'پارتنر متعدد جنسی'}",زنان,1398,2,Which of the following risk factors is a stronger factor for developing EP?,"{""1"": ""Smoking"", ""2"": ""Tubal ligation"", ""3"": ""Vaginal douching"", ""4"": ""Multiple sexual partners""}",Obstetrics and Gynecology,risk_factor,direct_question,gynecology,Ectopic Pregnancy,intermediate,0.0,"[""Risk factors for ectopic pregnancy""]",female,,,Unspecified
13842,زبان خشک قرمز صاف براق، با نقاط آبی در کدام مورد دیده می شود؟,"{'1': 'سیروز کبدی ', '2': 'کمبود ویتامین A ', '3': 'اسکلرودرمی ', '4': 'لیکن\u200cپلان'}",گوش حلق بینی,1394,1,"In which condition is a dry, smooth, shiny red tongue with blue spots seen?","{""1"": ""Liver cirrhosis"", ""2"": ""Vitamin A deficiency"", ""3"": ""Scleroderma"", ""4"": ""Lichen planus""}",ENT/Otolaryngology,diagnosis,direct_question,dermatology,oral_mucosa,basic,0.0,"[""oral_mucosa disorders"", ""vitamin deficiencies""]",unspecified,unspecified,unspecified,Unspecified
1665,آقای ۶۵ ساله از ۱۰ ماه پیش تحت درمان با تامسولوسین و فیناستراید می باشد. ایشان در حال حاضر با PSA=3.5ng/mL مراجعه کردنده اند که در آزمایش مجدد نیز تأیید میشود. بیمار علائم خفیف انسدادی و تحریکی ادراری دارند و معاینه رکتال نرمال است. چه توصیه ای دارید؟,"{'1': 'ادامه درمان دارویی با دوز بالاتر ', '2': 'بیوپسی پروستات ', '3': 'جراحی TURP ', '4': 'قطع فیناستراید و پیگیری سالیانه'}",اورولوژی,1401,4,"A 65-year-old male has been under treatment with Tamsulosin and Finasteride for the past 10 months. He currently presented with a PSA of 3.5 ng/mL, which was confirmed on repeat testing. The patient has mild obstructive and irritative urinary symptoms, and the digital rectal exam is normal. What is your recommendation?","{""1"": ""Continue medical treatment with a higher dose"", ""2"": ""Prostate biopsy"", ""3"": ""TURP surgery"", ""4"": ""Discontinue Finasteride and annual follow-up""}",Urology,followup,case_scenario,urology,Benign Prostatic Hyperplasia,intermediate,1.0,"[""Benign Prostatic Hyperplasia management"", ""PSA interpretation"", ""Prostate cancer screening"", ""Pharmacology of Tamsulosin and Finasteride""]",male,65,years,Adult (18+)
7192,خانمي 27 ساله در ماه نهم بارداري دچار عارضه ورود چوب به كف پا مي شود . بيمار مراقبت هاي بارداري را كامل دريافت نموده و در ماه هفتم بارداري واكسن كزاز تزريق كرده است . براي پيشگيري از كزاز بهترين اقدام براي اين بيمار كدام است؟,"{'1': 'تزريق يك نوبت واكسنTd ', '2': 'تزريق يك نوبت تتابولين ', '3': 'تزريق يك نوبت واكسن + تتابولين ', '4': 'اقدام خاص لازم نيست'}",عفونی,1397,4,A 27-year-old woman in her ninth month of pregnancy suffers from a complication of a piece of wood entering the sole of her foot. The patient has received complete prenatal care and was vaccinated against tetanus in the seventh month of pregnancy. What is the best course of action for this patient to prevent tetanus?,"{""1"": ""Injection of one dose of Td vaccine"", ""2"": ""Injection of one dose of Tetanus Immune Globulin (TIG)"", ""3"": ""Injection of one dose of vaccine + Tetanus Immune Globulin (TIG)"", ""4"": ""No specific action is necessary""}",Infectious Diseases,treatment,case_scenario,infectious_disease,tetanus,intermediate,1.0,"[""tetanus prophylaxis"", ""pregnancy management"", ""wound care""]",female,27,years,Adult (18+)
4366,خانم 32 ساله مبتلا به کم کاری تیروئید که تحت درمان با قرص لووتیروکسین ۵۰ میکروگرم در روز بوده است. در حال حاضر باردار ۶ . هفته می باشد TSH قبل از بارداری 2.5mIU/L بوده است. توصیه مناسب کدام است؟,"{'1': 'قطع درمان با لووتیروکسین ', '2': 'ادامه درمان لووتیروکسین با دوز قبلی ', '3': 'افزایش دوز لووتیروکسین ', '4': 'کاهش دوز لووتیروکسین'}",غدد,1398,3,A 32-year-old woman with hypothyroidism who has been treated with levothyroxine 50 mcg daily. She is currently 6 weeks pregnant. Her TSH before pregnancy was 2.5 mIU/L. What is the appropriate recommendation?,"{""1"": ""Discontinue levothyroxine treatment"", ""2"": ""Continue levothyroxine treatment at the previous dose"", ""3"": ""Increase the dose of levothyroxine"", ""4"": ""Decrease the dose of levothyroxine""}",Endocrinology,treatment,case_scenario,endocrinology,Thyroid disorders in pregnancy,intermediate,1.0,"[""Management of hypothyroidism in pregnancy"", ""Levothyroxine dosing in pregnancy"", ""TSH targets in pregnancy""]",female,32,years,Adult (18+)
20058,دختر و پسر جوانی با آنمی جهت مشاوره قبل از ازدواج مراجعه کرده اند. در الکتروفورز هموگلوبین پسرHbA1 = 90%، HbA2 = 5% و HbF = 5%است. در صورت وجود کدام یک از حالت های زیر در خانم، ازدواج این دو فرد بیشترین خطر را برای تولید فرزند با کم خونی شدید دارد؟,"{'1': 'کم خونی فقر آهن ', '2': 'آلفا تالاسمی مینور ', '3': 'هموگلوبینوپاتی زنجیره بتا ', '4': 'Persistent HbF'}",خون و انکولوژی,1391,3,"A young couple with anemia have come for premarital counseling. In the boy's hemoglobin electrophoresis, HbA1 = 90%, HbA2 = 5%, and HbF = 5%. If the girl has which of the following conditions, would the marriage of these two individuals have the highest risk of producing a child with severe anemia?","{""1"": ""Iron deficiency anemia"", ""2"": ""Alpha thalassemia minor"", ""3"": ""Beta chain hemoglobinopathy"", ""4"": ""Persistent HbF""}",Hematology and Oncology,screening,multiple_choice,hematology_oncology,hemoglobinopathy,intermediate,1.0,"[""hemoglobin electrophoresis interpretation"", ""thalassemia genetics"", ""pre-marital counseling for genetic disorders""]",female,,,Adult (18+)
8320,"مرد 25 ساله ای به دلیل تهوع و استفراغ به درمانگاه داخلی مراجعه کرده است. در آزمایش های انجام شده:BUN:67mg/dl, Cr:3.5 mg/dl, UA:pr:+1, Blood:1+ در آزمایش ادرار تعداد زیادی کست پهن دیده می شود. کدام یک از بیماری های زیر محتمل تر است؟","{'1': 'نفریت بینابینی ', '2': 'گلومرولونفریت ', '3': 'نکروز حاد توبولی ', '4': 'نارسایی مزمن کلیه'}",نفرولوژی,1397,4,"A 25-year-old man presented to the internal medicine clinic due to nausea and vomiting. Laboratory tests showed: BUN: 67 mg/dl, Cr: 3.5 mg/dl, UA: pr: +1, Blood: 1+. Numerous broad casts are seen in the urinalysis. Which of the following diseases is most likely?","{""1"": ""Interstitial Nephritis"", ""2"": ""Glomerulonephritis"", ""3"": ""Acute Tubular Necrosis"", ""4"": ""Chronic Kidney Failure""}",Nephrology,diagnosis,case_scenario,nephrology,acute_kidney_injury,intermediate,1.0,"[""interpretation of BUN and creatinine"", ""urinalysis interpretation"", ""identification of broad casts"", ""differential diagnosis of acute kidney injury""]",male,25,years,Adult (18+)
8410,خانم 27 ساله ای به علت تب، گلودرد و لنفادنوپاتی از 8 روز قبل مراجعه می کند، سابقه رفتار جنسی پرخطر را حدود 3 هفته قبل دارد، با احتمال سندرم رتروویرال، درخواست کدام تست کمک کننده تر است؟,"{'1': 'Western blot ', '2': 'Rapid test ', '3': 'P24 Ag test ', '4': 'IFA test'}",عفونی,1397,3,"A 27-year-old woman presents with fever, sore throat, and lymphadenopathy for 8 days. She has a history of high-risk sexual behavior approximately 3 weeks ago. With suspected retroviral syndrome, which test is most helpful?","{""1"": ""Western blot "", ""2"": ""Rapid test "", ""3"": ""P24 Ag test "", ""4"": ""IFA test""}",Infectious Diseases,diagnosis,case_scenario,infectious_disease,HIV,intermediate,1.0,"[""Acute retroviral syndrome"", ""HIV testing"", ""Differential diagnosis of fever and lymphadenopathy""]",female,27,years,Adult (18+)
11574,"خانم ۴۰ ساله ای از پنج سال پیش دچار کم کاری اولیه تیرویید بوده و برای پیگیری مراجعه نموده است. در شش ماه گذشته با ۲۰۰ میکروگرم در روز لووتیروکسین درمان می شده است. وی از ضعف، خشکی پوست و یبوست شکایت دارد. وزن وی طبیعی است. دیروز صبح، پیش از خوردن قرص، آزمایش تیرویید انجام داده که به قرار زیر است: مناسب ترین اقدام برای این بیمار کدام است؟ TSH=17mlU/L(N:0.3-3.6), T4=14g/dL(N14.5-12)","{'1': 'افزایش دوز لووتیروکسین ', '2': 'اضافه کردن لیوتیرونین ', '3': 'بررسی از نظر بیماری سلیاک ', '4': 'تاکید بر مصرف منظم دارو'}",غدد,1395,4,"A 40-year-old woman has had primary hypothyroidism for five years and has come for follow-up. She has been treated with 200 micrograms of levothyroxine daily for the past six months. She complains of weakness, dry skin, and constipation. Her weight is normal. Yesterday morning, before taking her pill, she had thyroid tests done, which are as follows: TSH=17 mlU/L (N: 0.3-3.6), T4=14 g/dL (N: 4.5-12). What is the most appropriate action for this patient?","{""1"": ""Increase levothyroxine dose"", ""2"": ""Add liothyronine"", ""3"": ""Evaluate for celiac disease"", ""4"": ""Emphasize regular medication intake""}",Endocrinology,treatment,case_scenario,endocrinology,thyroid_disorders,intermediate,1.0,"[""thyroid hormone replacement therapy"", ""interpretation of thyroid function tests"", ""management of hypothyroidism""]",female,40,years,Adult (18+)
13551,شیرخوار 1 ساله ای جهت تزریق واکسن MMR مراجعه نموده است. وی هفته قبل واکسن آنفلوانزا تزریق نموده است. توصیه شما کدام است؟,"{'1': 'تزریق واکسن بلامانع است ', '2': 'در 15 ماهگی تزریق شود ', '3': 'یک هفته بعد تزریق شود ', '4': 'یکماه بعد تزریق شود'}",کودکان,1395,1,A 1-year-old infant has presented for MMR vaccination. They received the influenza vaccine last week. What is your recommendation?,"{""1"": ""Vaccination is permissible"", ""2"": ""Should be vaccinated at 15 months"", ""3"": ""Should be vaccinated one week later"", ""4"": ""Should be vaccinated one month later""}",Pediatrics,pharmacology,direct_question,pediatrics,vaccination,basic,1.0,"[""vaccination schedule"", ""vaccine administration guidelines"", ""MMR vaccine"", ""Influenza vaccine""]",unspecified,1,years,Child (2-17)
15630,بيمار خانم 35 ساله با شكايت درد، گزگز، مور مور دست راست كه حين شب بدتر شده و گاهي بيمار را از خواب بيدار مي كند مراجعه كرده است. بيمار 8 ماه باردار است و از 4 ماه قبل مشكل وي به طور فزاينده تشديد شده است. در معاينه تست تينل در ناحيه مچ دست مثبت است. كدام گزينه در مورد بيمار صحيح نمي باشد؟,"{'1': 'بارداري مي\u200cتواند مشكل بيمار را تشديد كند. ', '2': 'درد مي\u200cتواند به شانه و گردن انتشار داشته باشد. ', '3': 'با پيشرفت بيماري ممكن است آتروفي عضلات هيپوتنار ديده شود. ', '4': 'خم كردن مچ دست به مدت يك دقيقه مي\u200cتواند باعث درد شود.'}",نورولوژی,1394,3,"A 35-year-old female patient presented with complaints of pain, tingling, and numbness in her right hand, which worsens at night and sometimes wakes her up from sleep. The patient is 8 months pregnant, and her problem has progressively worsened since 4 months ago. On examination, the Tinel's test at the wrist is positive. Which option is NOT correct regarding the patient?","{""1"": ""Pregnancy can exacerbate the patient's problem."", ""2"": ""The pain can radiate to the shoulder and neck."", ""3"": ""With the progression of the disease, hypothenar muscle atrophy may be seen."", ""4"": ""Flexing the wrist for one minute can cause pain.""}",Neurology,diagnosis,case_scenario,neurology,peripheral_neuropathy,intermediate,1.0,"[""neurology"", ""obstetrics_gynecology"", ""physical_examination"", ""differential_diagnosis""]",female,35,years,Adult (18+)
13396,کدام یک از موارد زیر کنترا اندیکاسیون جراحی توور پانکراس نیست؟,"{'1': 'متاستاز کبدی ', '2': 'لنفادنوپاتی ناحیه ای ', '3': 'تهاجم به رتروپریتوان ', '4': 'ترومبوز درون IVC (ورید اجوف تحتانی)'}",رادیولوژی,1395,4,Which of the following is NOT a contraindication for pancreatic tumor surgery?,"{""1"": ""Hepatic metastasis"", ""2"": ""Regional lymphadenopathy"", ""3"": ""Invasion of the retroperitoneum"", ""4"": ""Thrombosis within the IVC (Inferior Vena Cava)""}",Radiology,treatment,direct_question,gastroenterology,pancreatic_disease,intermediate,0.0,"[""Pancreatic surgery contraindications"", ""Pancreatic tumor management""]",unspecified,unspecified,unspecified,Unspecified
10688,خانم سی ساله ای از حدود سه هفته قبل دچار خلق افسرده و افزایش وزن و پرخوابی شده است. همچنین ذکر می کند که از چند ماه قبل بسیار حساس و در روابط بین فردی دچار مشکل شده است. چه اختلالی را مطرح می کنید؟,"{'1': 'افسردگی مزمن ', '2': 'افسرده خویی ', '3': 'افسردگی ملانکولیک ', '4': 'افسردگی آتیپیک'}",روانپزشکی,1395,4,"A 30-year-old woman has been experiencing depressed mood, weight gain, and hypersomnia for about three weeks. She also mentions that she has become very sensitive and has had difficulties in interpersonal relationships for several months. What disorder do you suggest?","{""1"": ""Chronic Depression"", ""2"": ""Dysthymia"", ""3"": ""Melancholic Depression"", ""4"": ""Atypical Depression""}",Psychiatry,diagnosis,case_scenario,psychiatry,mood_disorders,intermediate,1.0,"[""psychiatric diagnosis"", ""mood disorders"", ""symptoms of depression"", ""symptoms of bipolar disorder""]",female,30,years,Adult (18+)
19462,در آقایی به علت سوزش سر دل طولانی مدت اندوسکوپی صورت می گیرد که در آن مخاط قسمت انتهای مری به رنگ صورتی ـ نارنجی درآمده است. در بررسی میکروسکوپی وجود کدام یک از انواع سلولی در سطح اپی تلیوم مری اهمیت بالینی دارد و نیازمند پی گیری دقیق می باشد؟,"{'1': 'سنگفرشی چند لایه شاخی شونده ', '2': 'استوانه ای همراه با سلول های گابلت ', '3': 'پاریتال همراه با سلول های سنگفرشی ', '4': 'ائوزینوفیل لابلای سلول های استوانه ای'}",پاتولوژی,1392,2,"In a man with chronic heartburn, an endoscopy is performed, revealing the mucosa of the distal esophagus to be pink-orange. In microscopic examination, the presence of which type of cell on the esophageal epithelium has clinical significance and requires close follow-up?","{""1"": ""Stratified squamous keratinizing"", ""2"": ""Columnar with goblet cells"", ""3"": ""Parietal with squamous cells"", ""4"": ""Intraepithelial eosinophils in columnar cells""}",Pathology,pathophysiology,direct_question,gastroenterology,Esophageal Disorders,intermediate,1.0,"[""Gastroesophageal Reflux Disease (GERD)"", ""Barrett's Esophagus"", ""Esophageal Histology"", ""Endoscopy findings""]",male,,,Unspecified
7080,آقای 55 ساله به علت قرمزی و احساس جسم خارجی چشم چپ مراجعه نموده، در معاینه چشم قرمز و دیفکت اپی تلیال قرنیه که در رنگ آمیزی به شکل دندریتیک رنگ می گیرد همراه با وزیکول های کوچک و متعدد در سطح پلک مشهود است. در مورد این بیماری کدام یک از موارد زیر صحیح نمی باشد؟,"{'1': 'عفونت اولیه به شکل بلفاروکنژنکتیویت یک طرفه تظاهر می یابد. ', '2': 'عفونت اولیه می تواند به طور شایعی به سمت کراتیت اپی تلیال یا استرومال و یووئیت پیشرفت کند. ', '3': 'بسیاری از موارد کراتیت اپی تلیالی ناشی از این بیماری خودبه خود جذب می شوند. ', '4': 'تشخیص بیماری عمدتاً بالینی می باشد.'}",چشم پزشکی,1397,2,"A 55-year-old man presented with redness and foreign body sensation in the left eye. Examination revealed a red eye and a corneal epithelial defect that stains dendritically, along with multiple small vesicles on the eyelid surface. Regarding this disease, which of the following statements is incorrect?","{""1"": ""Primary infection manifests as unilateral blepharoconjunctivitis."", ""2"": ""Primary infection can commonly progress to epithelial or stromal keratitis and uveitis."", ""3"": ""Many cases of epithelial keratitis caused by this disease resolve spontaneously."", ""4"": ""Diagnosis of the disease is primarily clinical.""}",Ophthalmology,diagnosis,case_scenario,ophthalmology,cornea,intermediate,1.0,"[""Ophthalmology"", ""Corneal pathology"", ""Herpes simplex keratitis"", ""Differential diagnosis of red eye""]",male,55,years,Adult (18+)
4159,کدامیک از موارد زير در سیروز صحیح می باشد؟,"{'1': 'SAAG', '2': 'یکی از درمانهای آسیت محدودیت مایع است. ', '3': 'در سندرم هپاتورنال کراتی نین با قطع دیورتیک اصلاح می شود. ', '4': 'در صورت PMN 250 / mm3 در مایع آسیت باید آنتی بیوتیک شروع شود.'}",گوارش,1398,4,Which of the following is correct in cirrhosis?,"{""1"": ""SAAG"", ""2"": ""One of the treatments for limited ascites is fluid restriction."", ""3"": ""In hepatorenal syndrome, creatinine is corrected by discontinuing diuretics."", ""4"": ""If PMN is 250/mm3 in ascitic fluid, antibiotics should be started.""}",Gastroenterology,pathophysiology,direct_question,gastroenterology,Hepatology,basic,0.0,"[""Pathophysiology of cirrhosis""]",unspecified,unspecified,unspecified,Unspecified
7660,دختر خانم 25 ساله، با توده تخمدانی یک طرفه در سمت راست، مراجعه کرده است. سطح سرمی αFP بالا گزارش شده است. بیمار تحت لاپاراتومی قرار گرفته و در نمونه پاتولوژي شیلر دوال بادي رویت شده است. محتمل ترین تشخیص کدام است؟,"{'1': 'کارسینوم سلولی روشن ', '2': 'اندودرمال سینوس تومور ', '3': 'دیس ژرمینوما ', '4': 'گرانولوزا سل تومور'}",زنان,1397,2,A 25-year-old female presented with a unilateral ovarian mass on the right side. Serum αFP level was reported high. The patient underwent laparotomy and Schiller-Duval bodies were observed in the pathological sample. What is the most likely diagnosis?,"{""1"": ""Clear cell carcinoma"", ""2"": ""Endodermal sinus tumor"", ""3"": ""Dysgerminoma"", ""4"": ""Granulosa cell tumor""}",Obstetrics and Gynecology,diagnosis,case_scenario,gynecology,gynecologic_oncology,intermediate,1.0,"[""Gynecologic oncology"", ""Ovarian tumors"", ""Tumor markers"", ""Pathology of ovarian tumors""]",female,25,years,Adult (18+)
16446,بیمار مرد 25 ساله ای است که به دنبال مصرف داروی سایکوتروپ، به طور ناگهانی دچار کج شدن و سفتی گردن و احساس بزرگ شدن زبان و ناتوانی در صحبت کردن شده است. تشخیص احتمالی و درمان احتمالی به ترتیب کدام است؟,"{'1': 'آکاتیزیا تزریق عضلانی دیازپام ', '2': 'آکاتیزیا تزریق عضلانی آمپول بی پریدین ', '3': 'دیستونیای حاد تزریق عضلانی آمپول بی پریدین ', '4': 'دیستونیای حاد مصرف پروپرانولول خوراکی'}",روانپزشکی,1394,3,"A 25-year-old male patient suddenly developed neck twisting and stiffness, a feeling of enlarged tongue, and inability to speak after taking a psychotropic medication. What are the probable diagnosis and probable treatment, respectively?","{""1"": ""Akathisia, intramuscular injection of diazepam"", ""2"": ""Akathisia, intramuscular injection of biperiden ampoule"", ""3"": ""Acute dystonia, intramuscular injection of biperiden ampoule"", ""4"": ""Acute dystonia, oral propranolol""}",Psychiatry,diagnosis,direct_question,neurology,movement_disorders,intermediate,1.0,"[""psychotropic medication side effects"", ""extrapyramidal symptoms"", ""acute dystonia"", ""management of acute dystonia""]",male,25,years,Adult (18+)
16442,خانم 60 ساله ای به دلیل یک پلاک هایپرپیگمانته در ساق پای راست، به درمانگاه مراجعه کرده است و اظهار می دارد که اخیراً بزرگتر شده و همراه با تغییر رنگ بوده است. رویکرد مناسب برای این ضایعه عبارت است از:,"{'1': 'نمونه\u200cبرداری ', '2': 'صبر و انتظار ', '3': 'اسمیر لیشمانیا ', '4': 'درمان\u200c علامتی'}",پوست,1394,1,"A 60-year-old woman presented to the clinic due to a hyperpigmented plaque on her right lower leg, stating that it has recently enlarged and changed color. The appropriate approach for this lesion is:","{""1"": ""Biopsy"", ""2"": ""Watchful waiting"", ""3"": ""Leishmania smear"", ""4"": ""Symptomatic treatment""}",Dermatology,diagnosis,case_scenario,dermatology,skin_lesions,intermediate,1.0,"[""dermatology"", ""skin_lesion assessment"", ""differential diagnosis of pigmented lesions"", ""biopsy indications""]",female,60,years,Adult (18+)
